split,class,filename,path,size_kb,source
test,B,IMG_20251102_024337.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024337.jpg,3823.47,original
test,C,1762212395050.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212395050.jpg,3912.63,original
test,C,IMG_20251102_024030_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024030_1.jpg,3679.07,original
test,C,IMG_20251102_024033.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024033.jpg,3662.61,original
test,C,IMG_20251102_024034.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024034.jpg,3646.71,original
test,C,IMG_20251102_024035.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024035.jpg,3693.94,original
test,C,IMG_20251102_024042.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024042.jpg,3733.52,original
test,C,IMG_20251102_024044.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024044.jpg,3714.23,original
test,D,1762212432750.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432750.jpg,3826.36,original
test,D,1762212432809.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432809.jpg,4064.3,original
test,D,1762212432976.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432976.jpg,3906.48,original
test,D,1762212433092.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212433092.jpg,3941.95,original
test,D,IMG_20251102_023945.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/IMG_20251102_023945.jpg,3768.29,original
test,D,IMG_20251102_023947.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/IMG_20251102_023947.jpg,3687.97,original
test,D,IMG_20251102_023948.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/IMG_20251102_023948.jpg,3779.48,original
test,E,1762212477647.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/E/1762212477647.jpg,3778.65,original
test,E,1762212477725.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/E/1762212477725.jpg,3753.6,original
test,E,1762212477892.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/E/1762212477892.jpg,4011.45,original
test,E,IMG_20251102_023649.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/E/IMG_20251102_023649.jpg,3777.4,original
test,F,1762212513538.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/F/1762212513538.jpg,3802.85,original
test,F,1762212513575.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/F/1762212513575.jpg,3742.95,original
test,F,1762212513621.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/F/1762212513621.jpg,3773.03,original
test,F,1762212513666.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/F/1762212513666.jpg,3749.7,original
test,F,1762212513752.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/F/1762212513752.jpg,3997.22,original
test,F,IMG_20251102_023914.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/F/IMG_20251102_023914.jpg,3711.76,original
test,F,IMG_20251102_023927.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/F/IMG_20251102_023927.jpg,3506.18,original
test,G,1762212557623.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/G/1762212557623.jpg,3870.63,original
test,G,1762212557971.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/G/1762212557971.jpg,3903.81,original
test,G,1762212558044.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/G/1762212558044.jpg,3860.02,original
test,G,1762212558198.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/G/1762212558198.jpg,3734.63,original
test,No hand,IMG_20251102_023817.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/No hand/IMG_20251102_023817.jpg,3713.7,original
test,No hand,IMG_20251102_023831.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/No hand/IMG_20251102_023831.jpg,4514.29,original
train,A,1762212326034.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326034.jpg,3669.88,original
train,A,1762212326074.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326074.jpg,3782.17,original
train,A,1762212326103.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326103.jpg,3763.51,original
train,A,1762212326133.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326133.jpg,3753.13,original
train,A,1762212326155.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326155.jpg,3885.24,original
train,A,1762212326173.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326173.jpg,4086.08,original
train,A,1762212326193.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326193.jpg,4418.82,original
train,A,1762212326234.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326234.jpg,3813.49,original
train,A,1762212326293.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326293.jpg,3792.32,original
train,A,1762212326347.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326347.jpg,3780.69,original
train,A,1762212326380.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326380.jpg,3729.56,original
train,A,1762212326435.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326435.jpg,3675.23,original
train,A,1762212326513.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/1762212326513.jpg,3627.36,original
train,A,IMG_20251102_023846.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023846.jpg,3682.23,original
train,A,IMG_20251102_023847_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023847_1.jpg,3601.91,original
train,A,IMG_20251102_023848.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023848.jpg,3629.86,original
train,A,IMG_20251102_023849.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023849.jpg,3600.94,original
train,A,IMG_20251102_023850.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023850.jpg,3638.71,original
train,A,IMG_20251102_023851.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023851.jpg,3695.57,original
train,A,IMG_20251102_023852.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023852.jpg,3720.32,original
train,A,IMG_20251102_023853.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023853.jpg,3585.52,original
train,A,IMG_20251102_023853_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023853_1.jpg,3843.94,original
train,A,IMG_20251102_023854.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/A/IMG_20251102_023854.jpg,3893.01,original
train,B,1762212364065.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364065.jpg,3757.55,original
train,B,1762212364084.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364084.jpg,3753.77,original
train,B,1762212364099.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364099.jpg,3776.02,original
train,B,1762212364133.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364133.jpg,3790.99,original
train,B,1762212364186.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364186.jpg,3692.05,original
train,B,1762212364206.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364206.jpg,3668.7,original
train,B,1762212364232.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364232.jpg,3658.98,original
train,B,1762212364343.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364343.jpg,3944.01,original
train,B,1762212364363.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364363.jpg,3895.59,original
train,B,1762212364497.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364497.jpg,4013.0,original
train,B,1762212364514.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/1762212364514.jpg,4330.14,original
train,B,IMG_20251102_024129.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024129.jpg,3594.53,original
train,B,IMG_20251102_024129_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024129_1.jpg,3569.4,original
train,B,IMG_20251102_024130.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024130.jpg,3526.56,original
train,B,IMG_20251102_024131.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024131.jpg,3632.49,original
train,B,IMG_20251102_024132.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024132.jpg,3651.26,original
train,B,IMG_20251102_024134.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024134.jpg,3699.01,original
train,B,IMG_20251102_024134_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024134_1.jpg,3661.71,original
train,B,IMG_20251102_024136.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024136.jpg,3690.44,original
train,B,IMG_20251102_024323_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024323_1.jpg,3942.3,original
train,B,IMG_20251102_024324.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024324.jpg,4249.11,original
train,B,IMG_20251102_024325.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024325.jpg,3952.31,original
train,B,IMG_20251102_024325_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024325_1.jpg,3740.69,original
train,B,IMG_20251102_024326.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024326.jpg,3628.34,original
train,B,IMG_20251102_024327.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024327.jpg,3665.73,original
train,B,IMG_20251102_024328_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024328_1.jpg,4012.58,original
train,B,IMG_20251102_024329.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024329.jpg,3753.62,original
train,B,IMG_20251102_024330.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024330.jpg,3697.35,original
train,B,IMG_20251102_024330_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024330_1.jpg,3736.34,original
train,B,IMG_20251102_024331.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024331.jpg,3714.96,original
train,B,IMG_20251102_024331_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024331_1.jpg,3717.79,original
train,B,IMG_20251102_024332.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024332.jpg,3761.83,original
train,B,IMG_20251102_024333.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024333.jpg,3766.78,original
train,B,IMG_20251102_024333_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024333_1.jpg,3701.45,original
train,B,IMG_20251102_024334.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024334.jpg,3717.67,original
train,B,IMG_20251102_024335.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024335.jpg,3770.77,original
train,B,IMG_20251102_024335_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024335_1.jpg,3877.99,original
train,B,IMG_20251102_024336.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024336.jpg,3744.21,original
train,B,IMG_20251102_024337_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/B/IMG_20251102_024337_1.jpg,3800.55,original
train,C,1762212394759.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212394759.jpg,3745.82,original
train,C,1762212394778.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212394778.jpg,3783.79,original
train,C,1762212394823.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212394823.jpg,3845.69,original
train,C,1762212394850.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212394850.jpg,3808.56,original
train,C,1762212394873.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212394873.jpg,3677.36,original
train,C,1762212394899.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212394899.jpg,3713.18,original
train,C,1762212394923.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212394923.jpg,3853.06,original
train,C,1762212394947.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212394947.jpg,3851.07,original
train,C,1762212394960.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212394960.jpg,4074.53,original
train,C,1762212395008.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212395008.jpg,3770.11,original
train,C,1762212395075.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212395075.jpg,3892.7,original
train,C,1762212395110.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212395110.jpg,3833.05,original
train,C,1762212395149.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212395149.jpg,3712.85,original
train,C,1762212395194.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212395194.jpg,3787.29,original
train,C,1762212395208.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/1762212395208.jpg,3713.97,original
train,C,IMG_20251102_024024.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024024.jpg,3607.94,original
train,C,IMG_20251102_024025.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024025.jpg,3594.52,original
train,C,IMG_20251102_024026.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024026.jpg,3797.21,original
train,C,IMG_20251102_024028_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024028_1.jpg,3602.21,original
train,C,IMG_20251102_024030.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024030.jpg,3693.57,original
train,C,IMG_20251102_024031.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024031.jpg,3727.93,original
train,C,IMG_20251102_024031_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024031_1.jpg,3646.31,original
train,C,IMG_20251102_024032.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024032.jpg,3712.74,original
train,C,IMG_20251102_024034_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024034_1.jpg,3692.38,original
train,C,IMG_20251102_024036.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024036.jpg,3712.35,original
train,C,IMG_20251102_024036_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024036_1.jpg,3604.43,original
train,C,IMG_20251102_024037.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024037.jpg,3744.85,original
train,C,IMG_20251102_024038.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024038.jpg,3763.01,original
train,C,IMG_20251102_024039.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024039.jpg,3710.81,original
train,C,IMG_20251102_024040.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024040.jpg,3704.86,original
train,C,IMG_20251102_024040_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024040_1.jpg,3728.68,original
train,C,IMG_20251102_024041.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024041.jpg,3736.56,original
train,C,IMG_20251102_024043_1.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/C/IMG_20251102_024043_1.jpg,3773.44,original
train,D,1762212432627.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432627.jpg,3687.25,original
train,D,1762212432650.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432650.jpg,3810.07,original
train,D,1762212432675.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432675.jpg,4000.86,original
train,D,1762212432692.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432692.jpg,4068.97,original
train,D,1762212432712.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432712.jpg,3935.03,original
train,D,1762212432733.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432733.jpg,3859.45,original
train,D,1762212432774.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432774.jpg,3861.32,original
train,D,1762212432833.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432833.jpg,4044.81,original
train,D,1762212432850.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432850.jpg,4140.86,original
train,D,1762212432879.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432879.jpg,4091.68,original
train,D,1762212432904.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432904.jpg,4400.05,original
train,D,1762212432929.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432929.jpg,3666.92,original
train,D,1762212432956.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432956.jpg,3868.07,original
train,D,1762212432998.jpg,/data/Tanulmányok/Képfeldolgozás alap algoritmusai/Féléves feladat/guitar-chord-recognition/data/all/D/1762212432998.jpg,3852.92,original
